@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
40,7590,34,189,1500,1500,313,271877,590026566,374168,1201004,398708,25,16,1620,1364,vpn
2305,757650,1934,328,2960,11720,1352,152726,590026194,1767654,10135210,2437413,1586,1400,92220,77364,vpn
1769,649678,1478,367,2960,17560,1730,137438,590025336,1725450,17009345,3005016,1116,1103,70780,59124,vpn
1701,529748,1545,311,1500,24860,3249,93859,589998694,1200592,17104506,2913937,1206,1163,68060,61804,vpn
833,213424,674,256,2960,14640,1319,174173,590025514,758265,7677105,1140728,515,470,33340,26964,vpn
1285,424578,1074,330,2960,8800,916,173716,590025492,1733820,15014652,2694501,872,785,51420,42964,vpn
604,183530,562,303,1500,11720,1106,157617,590027005,878012,10341655,1765690,445,391,24180,22484,vpn
42,7670,35,182,1500,1500,313,248448,590025990,363349,1067421,352451,25,15,1700,1404,vpn
995,301110,817,302,2960,11720,1051,171742,590018156,967523,14474765,1978639,645,603,39820,32684,vpn
1196,368220,981,307,2960,14640,1271,180783,590026386,993610,7319809,1504956,792,663,47860,39244,vpn
538,136626,482,253,1500,8800,1103,132393,590025248,523789,5532940,845472,376,348,21540,19284,vpn
2314,694328,1993,300,2960,14640,1496,143183,590038822,1422278,15196709,2204031,1594,1512,92580,79724,vpn
40,7590,34,189,1500,1500,313,273493,590022400,364115,1124058,377123,25,16,1620,1364,vpn
2140,657730,1741,307,2230,23400,1501,162208,590022796,1642982,15756150,2630136,1470,1303,85620,69644,vpn
1939,615422,1592,317,2026,17560,1711,157473,590024495,1632467,9206534,2023927,1329,1214,77580,63684,vpn
88,16758,78,190,1500,2960,398,174533,590024903,398973,2099392,510992,58,48,3540,3124,vpn
2835,863276,2600,304,1884,23400,3865,101414,590011062,1093216,14492893,2128569,1716,2201,113420,104004,vpn
40,7408,35,185,1500,1500,310,256871,590025578,346733,1111607,382059,23,17,1620,1404,vpn
548,141456,508,258,2136,19020,3384,119091,590027401,764246,4880932,1030531,357,387,21940,20324,vpn
292,93608,262,320,1500,4420,823,146387,590029213,848933,3149365,1027538,217,182,11700,10484,vpn
365,107136,327,293,1500,7340,1107,156277,590025275,852670,4838067,1113492,260,230,14620,13084,vpn
2349,736170,1999,313,2566,11720,1436,151530,590028167,1377703,15656030,2178018,1682,1496,93980,79964,vpn
2833,699912,2451,247,1500,21940,2186,190166,590024991,1804995,16322646,1995286,1993,1742,113340,98044,vpn
556,128128,478,230,1500,5880,700,175510,590024733,1393988,8221464,1799171,386,311,22260,19124,vpn
908,250152,771,275,1500,11720,1158,166766,590023431,1750666,11105443,2116074,647,542,36340,30844,vpn
1457,435286,1188,298,1646,14640,1567,167456,590026830,1298050,14839163,2218814,1011,878,58300,47524,vpn
1175,324072,1112,275,1500,17560,2163,136990,590024818,878562,10124750,1572027,785,858,47020,44484,vpn
1356,467468,1125,344,2960,16100,2085,146501,590016190,870536,15908755,2119111,960,837,54260,45004,vpn
1822,581084,1526,318,2812,16100,1948,172926,590026433,1813099,9812762,2523756,1272,1057,72900,61044,vpn
4329,1254844,3937,289,2960,14640,2167,92998,590027638,2080036,14885832,2745510,3030,3333,173180,157484,vpn
142,34144,130,240,1500,10260,1272,131302,590026237,433693,1513125,419305,103,80,5700,5204,vpn
1008,333728,861,331,1500,8800,1388,159772,590022753,966964,9205114,1771923,710,588,40340,34444,vpn
1805,622420,1535,344,2960,14640,1466,147298,590025243,1434344,9680925,1826981,1248,1112,72220,61404,vpn
1294,397618,1090,307,2960,11720,1364,166193,590025048,1120413,9103099,1566692,890,764,51780,43604,vpn
1185,327800,968,276,2960,10260,1129,153484,590023282,1158248,6395658,1482665,807,694,47420,38724,vpn
39,7368,32,188,1500,1500,321,279762,590029696,353287,1107324,355287,24,16,1580,1284,vpn
1905,641292,1599,336,2846,24860,2498,168972,590025511,1538259,15789605,2663679,1358,1048,76220,63964,vpn
23,5142,19,223,1500,1500,408,319814,17271723,312221,1171627,406056,12,9,940,764,vpn
2392,727752,1980,304,2844,16100,1469,162636,590026511,1832025,8960770,1852342,1648,1478,95700,79204,vpn
438,121452,398,277,1500,13180,1789,162538,590025475,1054029,14636169,2572925,316,268,17540,15924,vpn
1637,485880,1410,296,2960,11720,1362,158836,590025559,1220119,10610817,2190162,1135,1065,65500,56404,vpn
959,295256,828,307,2960,7340,1199,159606,590023493,1205565,7389087,1802298,666,604,38380,33124,vpn
2166,687692,1846,317,1500,17560,1644,124641,590026378,1724660,18579160,3005018,1525,1394,86660,73844,vpn
975,261930,804,268,1500,7340,897,163247,590024907,1157178,5796024,1539847,673,579,39020,32164,vpn
924,291042,802,314,1500,14640,1230,155397,590026528,1047843,7757272,1615041,665,563,36980,32084,vpn
1281,356844,1116,278,2310,23400,3136,188306,590025938,1923791,15210660,2896641,952,795,51260,44644,vpn
2459,817736,2070,332,2960,11720,1569,152252,590004394,2800423,18543748,3485205,1748,1496,98380,82804,vpn
40,7590,34,189,1500,1198,291,241705,590029539,335697,1103989,365701,25,17,1620,1364,vpn
3424,1287568,3146,376,3690,33620,4737,101287,590025023,1163461,9762629,1997142,2247,2529,136980,125844,vpn
1081,346906,931,320,2960,13180,1506,171400,590026369,926637,8983502,1624678,751,646,43260,37244,vpn
658,175404,601,266,1500,10260,1780,147921,590026313,977685,5816924,1231884,493,438,26340,24044,vpn
671,258004,625,384,1784,7340,1342,139016,590024310,1413366,7667376,2143723,494,450,26860,25004,vpn
778,189440,670,243,1500,8800,950,172712,590027044,1333271,5592892,1344094,548,448,31140,26804,vpn
1215,357616,1015,294,2088,11720,1224,143269,590026736,1521413,8616367,1845470,833,749,48620,40604,vpn
2911,1062086,2446,364,3326,14640,1688,131385,590026693,2744595,25263595,4448624,1927,1888,116460,97844,vpn
997,280462,844,281,1500,10260,1074,130022,590025472,1060569,4124517,1039138,698,618,39900,33764,vpn
1450,420358,1224,289,1500,13180,1112,164967,590025516,1728286,6105403,1679572,1040,890,58020,48964,vpn
67,11722,58,174,1500,2960,445,210507,590028605,316899,1104472,335830,39,33,2700,2324,vpn
1097,353282,894,322,2960,16100,1424,156211,590026748,1688539,16959727,2769621,726,642,43900,35764,vpn
40,7590,34,189,1500,1500,313,231106,590025710,383017,1102633,354630,25,16,1620,1364,vpn
1129,349712,965,309,2960,8800,1071,170320,590026508,1065151,8767123,1735358,787,656,45180,38604,vpn
1679,473828,1415,282,1500,16100,1265,146321,590025099,1020149,10531662,1713083,1149,999,67180,56604,vpn
836,238100,698,284,1500,5880,859,139800,590028954,1089776,5323193,1151094,577,486,33460,27924,vpn
1200,361586,1004,301,2960,10260,1087,152362,590028131,870382,8485470,1397711,816,706,48020,40164,vpn
1875,564240,1529,300,1500,13180,1473,146523,590025972,1386798,10534119,1910269,1273,1131,75020,61164,vpn
1502,462352,1263,307,2960,14640,1540,160217,590025783,1262901,8963443,1852800,1037,927,60100,50524,vpn
18,1918,18,106,575,4420,1083,20371,75167360,19756,96419,38950,3,5,740,724,vpn
1336,411418,1141,307,2960,8800,1032,152589,590025950,1210884,10788981,2153279,936,821,53460,45644,vpn
1430,403788,1191,282,2960,14640,1822,179523,590028089,1506003,15576256,2276337,989,860,57220,47644,vpn
1355,394674,1273,291,2960,26320,3833,95496,590024590,937821,5003127,1238050,901,1011,54220,50924,vpn
2040,620158,1673,303,2094,16100,1361,175382,590025831,1729293,9947110,2276055,1417,1244,81620,66924,vpn
1752,578204,1522,330,1500,14640,1745,132007,590026824,1967371,9858500,2306595,1210,1170,70100,60884,vpn
71,12348,59,173,1500,2960,442,182104,590024796,305976,1102644,314674,43,32,2860,2364,vpn
1839,608148,1788,330,3524,29240,4536,87271,590025940,759178,10019089,1451658,1089,1497,73580,71524,vpn
2136,693212,1832,324,1500,26320,3325,174675,590026694,1678368,16278343,2427546,1506,1320,85460,73284,vpn
750,231104,631,308,1500,11720,1232,139919,590025377,1029790,6124984,1423414,518,445,30020,25244,vpn
