@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement-V

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1819,534936,1544,1046326,40,294,2720,378,40,677,10260,1270,10,71646,1010950,140544,3,83317,1035458,146729,590027687,29249,1320581,14015046,2331220,1032584,4876335,30092058,4715817,18,5572,16,10899,1260,1132,0,0,72780,61764,vpn
465,116464,420,257757,40,250,1634,335,40,613,7340,1081,19,73306,975212,159883,3,84067,1064659,152919,590024562,5420,690586,4894096,985714,1000369,11587205,59717272,13194053,9,2376,8,5260,310,296,0,0,18620,16804,vpn
3686,1551624,3095,1931791,40,420,2960,517,40,624,14640,1189,7,52487,1051612,111526,1,65455,1124779,118562,590025712,5121,1517407,6131935,1385322,1027290,3009579,7536534,1409397,28,11844,23,14746,2558,2086,0,0,147460,123804,vpn
68,11944,58,13606,40,175,1500,254,40,234,2960,445,65,104630,975054,182331,455,127457,1120161,221912,590026931,28209,350849,1147949,327989,1057718,32408932,264672367,75652956,3,628,3,716,41,32,0,0,2740,2324,vpn
41,7764,34,6752,40,189,1500,284,40,198,1500,313,65,113037,976290,223485,390,151290,1014959,235757,590026816,11221,332458,1107575,377497,1057308,53276119,539312971,161225237,3,647,2,562,26,16,0,0,1660,1364,vpn
2146,899142,1819,1211819,40,418,2960,516,40,666,8800,1168,10,56035,1139872,127379,1,69004,1126050,130619,590025344,27173,1693671,8849777,1667496,1040956,6477601,177687147,21676565,29,12317,24,16600,1495,1237,0,0,85860,72764,vpn
1385,461652,1178,816636,40,333,2960,427,40,693,11720,1271,7,73574,1234005,159486,2,85763,1202019,168280,590027263,23,1211297,10126554,1972685,1054034,6058035,76658946,9649579,16,5629,14,9958,964,837,0,0,55420,47124,vpn
1500,454400,1240,982782,40,302,2412,380,40,792,14640,1713,15,72048,1086533,154110,4,87990,1084348,161178,590029153,27664,1388446,9748664,1995509,1043978,6356825,86391237,12874110,19,5901,16,12763,1054,925,0,0,60020,49604,vpn
1165,320606,995,532618,40,275,1500,354,40,535,7340,992,18,78597,1131908,151504,10,93232,1159245,158884,590030164,20,1201271,7514685,1622377,1045614,6755875,80188217,11468170,15,4274,13,7101,832,707,0,0,46620,39804,vpn
1247,375236,1041,573573,40,300,2960,403,40,550,11720,1093,9,83230,1029417,158104,17,97830,1086601,165459,590028045,26945,1128680,18807463,2586539,1055121,5640277,96197646,13236175,14,4264,11,6517,857,735,0,0,49900,41644,vpn
579,180062,519,445200,40,310,1500,354,40,857,11720,1618,13,79866,1202050,193424,4,94244,1113524,178153,590025015,2094,1280021,10640155,2227554,1052892,15074006,154755656,27108818,15,4866,14,12032,435,350,0,0,23180,20764,vpn
1287,405142,1064,854337,40,314,2960,386,40,802,11720,1507,10,84130,1024381,168895,2,104283,1105027,181857,590026236,15,1715021,11077133,2282205,1021337,7773868,149503167,19071820,20,6430,16,13560,913,738,0,0,51500,42564,vpn
1872,572960,1573,1181363,40,306,1500,390,40,751,21940,1594,12,67426,1129441,137506,5,81323,1220668,152083,590025312,1509,1392427,13647530,1968646,1049219,5221425,58740568,7765079,20,6366,17,13126,1293,1164,0,0,74900,62924,vpn
893,249606,760,346879,40,279,1500,348,40,456,7340,932,9,77546,976335,148801,5,91446,1032935,150601,590026480,15574,974746,5844947,1341341,1051550,7440278,53425339,9561172,12,3515,10,4885,635,509,0,0,35740,30404,vpn
1463,394412,1229,834061,40,269,1500,359,40,678,13180,1355,8,67292,973883,140661,2,80627,1083080,153207,590025171,27528,2072397,14946598,3050930,1009066,10709184,92828433,17380254,31,8391,26,17745,990,960,0,0,58540,49164,vpn
1186,336946,1018,557132,40,284,1500,362,40,547,8800,980,16,76230,975611,158085,3,92232,1122605,163414,590025433,26882,1361536,7487663,1535053,1009610,7557613,45598317,9272653,17,5029,15,8315,831,755,0,0,47460,40724,vpn
40,7590,34,6688,40,189,1500,287,40,196,1500,313,68,103286,973115,233763,496,162973,1163337,268384,590025571,27412,370813,1191161,384486,1059988,53234164,538808659,161071484,3,632,2,557,25,16,0,0,1620,1364,vpn
960,290328,786,617546,40,302,1500,391,40,785,14640,1754,17,62455,1238376,129022,10,76935,1012999,145486,590025724,15,1133773,9375892,1817692,1055695,10413127,69594900,16162205,18,5583,15,11875,628,595,0,0,38420,31444,vpn
1291,297228,1204,1554921,40,230,1500,283,40,1291,21940,2222,7,67746,1152795,172640,2,82537,1174251,169623,590025116,27023,765706,9446968,1318540,1036221,4025020,5960444,1651153,10,2397,9,12539,890,841,0,0,51660,48164,vpn
1675,396754,1489,2948891,40,236,1500,274,40,1980,20480,2505,11,51988,1048568,137165,3,58415,1059908,150245,590024661,22,1267971,8099216,1831832,1026654,7519441,136017699,17634814,24,5834,21,43366,1203,1252,0,0,67020,59564,vpn
1382,470516,1199,953506,40,340,2960,416,40,795,14640,1354,8,62858,1030525,141068,3,73859,1144685,142294,590025137,28103,1831385,18185808,3089175,1047693,10683375,72882940,14872494,28,9802,24,19864,989,861,0,0,55300,47964,vpn
40,7590,34,6688,40,189,1500,309,40,196,1500,313,72,102105,977407,233105,156,158214,1127680,261822,590026419,28565,346316,1155579,387311,1050045,53260965,539155322,161177630,3,632,2,557,24,17,0,0,1620,1364,vpn
1026,344256,901,617813,40,335,2720,410,40,685,7340,1156,16,57364,1002903,144464,3,68470,1046274,139334,590026166,29890,1324054,5725996,1323408,1037739,11758214,78904406,18090607,22,7483,19,13430,751,635,0,0,41060,36044,vpn
