@relation '<netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R4-5,8-10,13-19,22,27,29-33,36-37-weka.filters.unsupervised.attribute.Remove-R13-14'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
40,7590,34,189,1500,1500,313,259473,590030280,364111,1160015,384232,24,17,1620,1364,vpn
1978,552514,1698,279,2960,17560,1883,140640,590029291,1501664,8756919,1911369,1387,1213,79140,67924,vpn
576,141828,535,246,2960,10260,1316,172373,590029876,863051,7758476,1388328,413,356,23060,21404,vpn
1876,582956,1654,310,2960,13180,1503,162388,590025858,1468534,13206838,2599191,1320,1159,75060,66164,vpn
2598,849176,2124,326,2960,14640,1392,160818,590029244,1608272,15858075,2176652,1712,1510,103940,84964,vpn
41,7764,35,189,1500,1500,310,239182,590028206,357853,1106760,373214,26,16,1660,1404,vpn
2372,657726,2154,277,2960,30700,4180,111822,594407240,968661,11158662,1363418,1460,1630,94900,86164,vpn
1719,564840,1466,328,1500,14640,1345,145889,590029179,1378698,8765042,2150197,1221,1101,68780,58644,vpn
900,250012,743,277,1500,11720,900,154222,590025526,1289847,5554726,1317229,631,528,36020,29724,vpn
1175,337050,988,286,1500,14640,1320,145603,590026551,1301464,16820915,2487684,806,718,47020,39524,vpn
841,267452,690,318,1526,14640,1356,166807,590031443,919805,8960287,1408165,555,483,33660,27604,vpn
1748,519506,1509,297,2960,21940,1591,149586,590026072,1200407,7158845,1567240,1223,1073,69940,60364,vpn
882,246896,741,279,1500,14640,1755,179936,590025829,1193657,15550506,2198638,576,521,35300,29644,vpn
743,175468,698,236,1500,19020,3022,156254,215025657,1137898,8264829,1619169,500,513,29740,27924,vpn
4552,1182696,4324,259,3496,29240,3903,88535,733601909,1152280,7790511,1312916,2791,3476,182100,172964,vpn
476,128198,422,269,1500,8800,1201,166985,590025618,899219,6197340,1121060,360,247,19060,16884,vpn
490,87890,422,179,1500,13180,2321,142223,590024905,420035,4164416,659274,305,300,19620,16884,vpn
40,7590,34,189,1500,1500,313,235532,590028860,369381,1102418,344412,25,16,1620,1364,vpn
1293,399970,1119,309,1500,10260,1110,147588,590022995,1441873,9937964,1858351,937,808,51740,44764,vpn
1350,442690,1194,327,1646,26320,1706,151032,590025881,1158786,9714468,1810711,953,892,54020,47764,vpn
38,7510,32,197,1500,1500,321,272867,50855189,410691,1189777,382169,24,17,1540,1284,vpn
2196,448904,2062,204,1500,29240,3929,110361,692859622,725096,9201254,1291063,1324,1709,87860,82484,vpn
177,59218,159,334,1500,1500,240,232190,590026033,958380,10260049,1816083,141,61,7100,6364,vpn
500,145364,408,290,1500,7340,1014,166603,590032111,1199733,4752466,1236921,342,275,20020,16324,vpn
3122,1054076,2609,337,2960,14640,1341,162367,590020681,1821026,15724230,2378944,2126,1780,124900,104364,vpn
40,7590,34,189,1500,1500,313,248532,590028442,341812,1104570,371283,24,17,1620,1364,vpn
40,7590,34,189,1500,1500,313,250474,590025931,334283,1108005,374167,25,16,1620,1364,vpn
1658,603416,1470,363,1500,20480,1710,111127,590012113,1514757,17977235,3111258,1157,1086,66340,58804,vpn
1723,520440,1461,302,1614,14640,1721,164711,590025715,1639288,14930016,2361460,1197,1102,68940,58444,vpn
40,7590,35,189,1500,1500,310,249580,590026950,333274,1108037,371493,25,16,1620,1404,vpn
1867,601478,1609,322,2960,14640,1421,142154,590025232,1241245,15705629,2256345,1299,1194,74700,64364,vpn
18644,7211034,16535,386,4186,46760,3264,70015,590025116,22671588,294805786,62340635,12877,12846,745780,661404,vpn
4461,1237058,4096,277,1500,26320,3627,87245,590026584,1538511,14420892,2415319,3117,3591,178460,163844,vpn
29,4629,22,159,1376,824,210,45549,60162845,294891,710434,361257,18,16,1180,884,vpn
787,311440,689,395,2960,13180,1564,134330,590020869,1119922,9216712,1706252,592,444,31500,27564,vpn
1174,358802,982,305,2960,7340,1035,164834,590026316,770230,8839817,1282350,809,677,46980,39284,vpn
836,384020,686,459,2960,8800,1493,120648,590028055,1604402,9819421,2556151,550,479,33460,27444,vpn
1518,459960,1270,303,1500,19020,1364,153167,590026123,1647014,14778138,2993115,1017,961,60740,50804,vpn
39,7550,34,193,1500,1500,316,290479,590026374,379126,1110593,368580,24,16,1580,1364,vpn
2069,670676,1767,324,2960,16100,2001,147878,590023306,1252738,15128506,2318158,1442,1346,82780,70684,vpn
1509,443632,1247,293,1500,14640,1317,191300,590024324,2159936,16238630,2637583,1060,909,60380,49884,vpn
579,151494,534,261,1500,10260,1454,166970,590030061,995982,11646182,1893152,425,355,23180,21364,vpn
5042,1513096,4242,300,2960,33620,3141,111680,590022715,2975086,35972155,5218166,3490,3346,201700,169684,vpn
3557,1069666,3447,300,2960,19020,2118,115205,590027242,2012791,15497575,2768536,2577,2885,142300,137884,vpn
647,218432,577,337,2960,14640,1482,115124,590026067,881600,8763205,1476251,410,395,25900,23084,vpn
1963,590966,1617,301,4048,13180,1412,145722,590024971,2445736,25513734,4277947,1313,1227,78540,64684,vpn
2504,804192,2134,321,1500,17560,1796,133988,590034960,2121554,16569842,2988142,1751,1586,100180,85364,vpn
2136,824118,1792,385,2960,14640,1506,148416,590027672,1402057,14242377,2540315,1467,1306,85460,71684,vpn
40,7590,36,189,1500,1500,307,267564,590026435,376204,1202778,390332,24,17,1620,1444,vpn
813,248494,683,305,2490,14640,2007,123363,590025053,1046890,7679202,1542850,530,503,32540,27324,vpn
661,210474,569,318,1500,10260,1280,120177,590026159,582072,9280123,1303500,431,394,26460,22764,vpn
1846,595688,1536,322,2960,13180,1365,156431,590026083,1300551,12277625,1950911,1281,1092,73860,61444,vpn
1924,556660,1625,289,1500,14640,1662,162694,590026815,1306077,10692688,1976286,1272,1212,76980,65004,vpn
40,7590,34,189,1500,1500,313,260573,590024819,376252,1205140,408237,25,16,1620,1364,vpn
1462,494580,1238,338,2266,13180,1341,171328,590026359,1125327,8148210,1517417,1018,905,58500,49524,vpn
3352,1474218,2870,439,2960,11720,1106,117223,590027215,1870414,11919614,2027026,2314,1966,134100,114804,vpn
40,7590,34,189,1500,1500,313,261203,590031643,345811,1139150,382974,25,16,1620,1364,vpn
2238,769904,2004,344,2960,46760,4143,130765,590026829,1303127,12722037,2307314,1569,1517,89540,80164,vpn
841,245746,739,292,1500,11720,1427,171652,590025555,1146513,9688498,2076449,597,535,33660,29564,vpn
1265,370972,1054,293,2960,14640,1991,144235,590027681,1588894,14399308,2546529,850,797,50620,42164,vpn
2139,777518,1779,363,2960,24860,1674,132284,590025163,1706232,16394112,2894105,1492,1325,85580,71164,vpn
