@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
465,116464,420,257757,40,250,1634,335,40,613,7340,1081,19,73306,975212,159883,3,84067,1064659,152919,590024562,5420,690586,4894096,985714,1000369,11587205,59717272,13194053,9,2376,8,5260,310,296,0,0,18620,16804,vpn
3650,1214172,3124,3583091,40,332,2960,409,40,1146,24860,1769,10,56892,972068,122341,2,66435,1121362,133493,590032255,2951,2249057,25973947,4014984,1001685,4210098,58471362,8578084,39,13197,33,38946,2547,2351,0,0,146020,124964,vpn
671,154428,573,495641,40,230,1500,305,40,864,17560,1609,14,75377,1202867,160856,2,88705,1148913,164818,590025453,19,1274523,7725663,1817901,1047630,14218922,107438069,21319429,17,3959,14,12708,432,425,0,0,26860,22924,vpn
2059,610134,1819,1557753,40,296,1500,376,40,856,13180,1437,8,65319,1140553,145693,2,74813,1214908,143927,590025528,10870,1585225,9942974,2159175,1028219,5420016,96227452,11702856,24,7178,21,18326,1442,1361,0,0,82380,72764,vpn
1543,476566,1327,1025751,40,308,2960,394,40,772,10260,1364,17,62129,1122574,127660,4,70989,1059780,132738,590025936,16798,856185,8284413,1596551,1047553,4599090,21930425,3859763,14,4372,12,9410,1069,996,0,0,61740,53084,vpn
653,203296,548,313892,40,311,1500,390,40,572,7340,1005,19,66110,1185751,160213,13,81897,1151231,154923,590024682,26902,1210036,8532037,1747379,1091268,15613239,202048725,34895690,18,5647,15,8719,466,396,0,0,26140,21924,vpn
273,57270,246,110542,40,209,1500,244,40,449,7340,1000,28,70970,973799,147507,22,96020,1171465,144873,590024850,26929,457820,1989697,443963,1059122,12358854,94458190,17024206,5,1218,5,2351,198,150,0,0,10940,9844,vpn
1165,320606,995,532618,40,275,1500,354,40,535,7340,992,18,78597,1131908,151504,10,93232,1159245,158884,590030164,20,1201271,7514685,1622377,1045614,6755875,80188217,11468170,15,4274,13,7101,832,707,0,0,46620,39804,vpn
1247,375236,1041,573573,40,300,2960,403,40,550,11720,1093,9,83230,1029417,158104,17,97830,1086601,165459,590028045,26945,1128680,18807463,2586539,1055121,5640277,96197646,13236175,14,4264,11,6517,857,735,0,0,49900,41644,vpn
914,313276,797,678997,40,342,1500,424,40,851,14640,1416,15,48796,1203994,116245,3,60943,1081299,116623,590024440,26793,894684,9310675,1504006,1053822,10220971,68370481,13726978,16,5801,14,12574,622,563,0,0,36580,31884,vpn
