@relation <netmate-2017-06-07-17:00:43-1>-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0-no-replacement-V-weka.filters.supervised.instance.Resample-B0.0-S1-Z50.0-no-replacement

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute class {vpn,normal}

@data
1517,469374,1259,713374,40,309,2410,386,40,566,8800,1155,11,91632,1204049,174257,4,112801,1169445,181485,590025609,1513,1547865,10909559,2162529,1024348,5139381,75891389,8397585,17,5273,14,8015,1091,845,0,0,60700,50364,vpn
1859,637086,1547,1528359,40,342,2960,426,40,987,16100,1799,11,67676,1063088,152215,4,81938,1002962,157995,590027228,20055,1543077,17791620,2763013,1063135,5812974,56292120,9254066,22,7865,19,18868,1323,1096,0,0,74380,61884,vpn
1227,391930,1024,603528,40,319,2154,397,40,589,7340,1029,17,82541,1059213,177393,18,100479,1047538,184152,590024446,26606,1658411,12751059,2211462,1014730,8313893,79432901,14555966,20,6532,17,10058,882,729,0,0,49100,40964,vpn
4629,858070,4083,5919739,40,185,1500,231,40,1449,21940,1908,7,55139,1208570,146482,1,62732,1038543,149696,4764170148,27293,454735,6764507,718525,1013410,8190845,10034372,2708371,8,1554,7,10724,2974,3090,0,0,185180,163324,vpn
2266,697750,2007,2129151,40,307,2170,376,40,1060,20480,1718,14,66203,1197316,148857,2,74287,1103607,155994,589950799,26762,1352697,9802400,2195989,1023959,4097285,53213977,7146783,20,6401,18,19533,1618,1523,0,0,90660,80284,vpn
2624,821914,2142,2104921,40,313,2430,399,40,982,17560,1871,9,59529,1107795,122730,2,72467,1052641,136135,590024420,27493,1840933,15916793,2712708,1000194,5245615,47085087,6574554,31,9784,25,25058,1783,1622,0,0,104980,85684,vpn
40,7590,36,6768,40,189,1500,309,40,188,1500,307,166,120289,971177,234551,102,153388,1121861,256854,590027264,28528,389398,1150998,380295,1064132,53214044,539045478,161156340,3,632,3,564,24,17,0,0,1620,1444,vpn
41,7764,34,6752,40,189,1500,284,40,198,1500,313,111,113165,975483,227568,379,157510,1083375,251153,590030369,4998,335459,1111245,391707,1053088,53273168,538989019,161118406,3,647,2,562,26,16,0,0,1660,1364,vpn
1540,508860,1331,1098356,40,330,1500,395,40,825,20480,1791,11,81962,1230522,159616,4,96745,1174413,172662,590025439,25965,1834535,19424580,2972571,1046258,6815331,112820427,14970883,22,7374,19,15918,1120,914,0,0,61620,53244,vpn
1715,492342,1447,1115682,40,287,2960,384,40,771,19020,1444,8,69900,1083748,140861,3,82191,1111192,152708,590024613,6256,1402785,10091118,2080814,1008996,5775529,58682669,9072320,20,5931,17,13441,1161,1032,0,0,68620,57884,vpn
1702,509182,1455,1537537,40,299,1500,382,40,1056,16100,1745,16,59452,1056570,134202,2,70492,1179020,140965,590025204,52,1232690,15050584,2265029,1002612,6036352,27592323,6107306,20,6209,17,18750,1167,1104,0,0,68100,58204,vpn
2170,768622,1898,1596596,40,354,4586,475,40,841,14640,1327,10,63263,1247681,139961,1,72730,1057228,145644,590024541,26905,1925554,17297891,3242659,1015795,6475860,58885753,13162711,30,10825,26,22487,1501,1390,0,0,86820,75924,vpn
1860,566490,1625,1314157,40,304,2800,383,40,808,11720,1384,11,62080,1130707,134534,3,72058,1193661,139204,590026389,44819,1871214,8959150,2315903,1007056,7770673,95965958,16981596,30,9136,26,21196,1329,1217,0,0,74420,65004,vpn
1439,561628,1164,959793,40,390,2960,493,40,824,14640,1442,11,55011,990177,131385,2,69077,1162420,143692,590024214,26425,1389364,9756638,1889119,1058428,9121971,65402356,13579853,25,9853,20,16838,970,853,0,0,57580,46564,vpn
1804,547804,1520,1133101,40,303,2960,404,40,745,14640,1568,9,86574,1007535,167148,3,101723,1215608,181066,590024678,26729,1359642,13749887,2245207,1017215,3991858,34157970,3794438,16,4935,13,10208,1214,1023,0,0,72180,60804,vpn
1688,517288,1422,1258509,40,306,2494,383,40,885,13180,1587,13,66882,1229279,142189,5,79354,1042026,150622,590024163,4144,1197395,15015473,2033842,1013671,5273228,58808696,7671950,18,5622,15,13679,1204,1068,0,0,67540,56884,vpn
1681,524832,1447,1427502,40,312,2262,378,40,986,14640,1854,12,63158,983288,136683,5,74274,1211714,143894,590027837,26557,1293877,16503976,2169649,1007746,5974443,53956974,8440347,20,6400,17,17408,1221,1070,0,0,67260,57884,vpn
12083,4464264,10619,19402082,40,369,2960,448,40,1827,36540,3120,7,30389,1025344,70538,1,34553,1134634,79253,590025628,28310,6346453,191331133,25239809,1030775,3893531,18408980,3496576,208,76970,183,334518,8094,8442,0,0,483340,424764,vpn
2599,916250,2140,1349281,40,352,2960,478,40,630,11720,1188,9,66786,1206890,136912,1,82583,1141766,145612,590025747,28916,1724865,14103484,2382121,1030498,4158142,36211519,5530477,25,9071,21,13359,1693,1524,0,0,103980,85604,vpn
1162,408292,977,1094410,40,351,2960,443,40,1120,14640,1833,9,52124,972616,127683,3,64352,1065656,138957,590025499,6252,1238083,17483138,2721747,1006903,10777986,110732653,19916033,23,8165,19,21888,784,745,0,0,46500,39084,vpn
67,11894,59,13879,40,177,1500,265,40,235,2960,446,71,111251,972745,192700,331,115821,976655,213816,590028581,31,308121,1105145,315891,1042667,30729797,251372865,72610291,3,594,2,693,39,32,0,0,2700,2364,vpn
4771,1042428,4481,15489373,40,218,1500,234,40,3456,29240,2977,8,11695,974029,62901,2,12884,1036385,62373,590024815,27677,1031674,10269763,1613858,1017830,9301538,46202766,11481693,82,17972,77,267058,3415,3985,0,0,190860,179244,vpn
40,7590,34,6752,40,189,1500,287,40,198,1500,313,66,102176,972633,232624,361,159313,1125813,260940,590025605,27668,347794,1154341,388367,1052728,53259278,538881144,161086939,3,632,2,562,25,16,0,0,1620,1364,vpn
150,27672,135,38433,40,184,1500,240,40,284,4420,549,67,152748,1000844,273099,45,173029,1156922,291562,590032245,23463,648388,5388506,1298239,1062252,18997739,131219755,30967973,4,892,4,1239,99,77,0,0,6020,5404,vpn
2149,606958,1820,1576075,40,282,2960,376,40,865,14640,1572,9,75749,1134444,152372,3,88742,1064959,163427,590025804,41667,1688474,9639625,2465745,1000963,4637733,43056748,6440056,22,6457,19,16766,1460,1372,0,0,85980,72804,vpn
2605,789654,2196,1689216,40,303,1500,387,40,769,14640,1464,10,64497,995307,130794,3,77704,1112526,141097,590026140,31108,1978469,18652048,2685817,1008310,5022097,51122346,6912861,30,9290,25,19873,1794,1662,0,0,104220,87844,vpn
1398,407184,1189,878496,40,291,1500,366,40,738,14640,1429,9,74025,1152130,152313,3,87349,1158893,158699,590026436,22,1348583,11118137,1870833,1005785,6606522,45107200,8176405,18,5429,15,11713,983,867,0,0,55940,47564,vpn
